Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date
Fittings,5-IN MALL BUSHED NIP,ea,141.0386,92007,78599419951,SEPCO 995,2026-08-25
Fittings,3-1/2 STEEL LOCKNUT,ea,3.0978,92060,78599417141,SEPCO 714,2026-08-25
Fittings,2-IN MALL LB COND BO,ea,27.2460,92070,78599440061,SEPCO LB6,2026-08-25
Fittings,3/4 INS STR SQZ CONN,ea,1.6500,92088,78599432867,SEPCO C28ZT,2026-08-25
Fittings,2-IN RUBBER COND BODY,ea,2.2527,92091,78599449914,SEPCO 14,2026-08-25
Fasteners,1IN MALL BEAM CLAMP 3/8-16,ea,1.9672,92100,78599416211,SEPCO 621,2026-08-25
Conduit & Raceway,1-IN 2H STL EMT ST,ea,0.2286,92168,78599421447,SEPCO 2144S,2026-08-25
Fittings,1-1/2X1 RED WASH,ea,0.4371,92183,78599481537,SEPCO CW53,2026-08-25
Fittings,2-1/2&3 RUB COND BODY,ea,3.5420,92260,78599449915,SEPCO 15,2026-08-25
Fittings,3-IN 3PC MALL COND,ea,80.9557,92383,78599410291,SEPCO 1029,2026-08-25
Fittings,2-IN AL LR COND BOD,ea,28.2684,92388,78599442065,SEPCO LR6A,2026-08-25
Fittings,3IN ALUM COND BODY,ea,78.0205,139874,78599449085,SEPCO C-8AT,2026-08-25
Conduit & Raceway,1/2 STL COMP EMT CPLG,ea,0.4509,92414,78599461107,SEPCO S1016,2026-08-25
Fittings,2-1/2ALUM COND BODY,ea,62.9609,139879,78599449075,SEPCO C7AT,2026-08-25
Fittings,3-IN MALL C CONDUIT B,ea,125.2241,92425,78599443080,SEPCO C8,2026-08-25
Fittings,1-1/2 INS STR SQZ CONN,ea,6.2765,92434,78599433167,SEPCO C31ZT,2026-08-25
Fittings,3-1/2&4 RUB COND BODY,ea,5.0960,92477,78599449916,SEPCO 16,2026-08-25
Fittings,1-1/2 MALL INS BU,ea,6.8577,92511,78599420033,SEPCO 24BI4L,2026-08-25
Fittings,3X2 RED WASH,ea,1.5392,92542,78599481867,SEPCO CW86,2026-08-25
Fittings,1-IN 1H STL COND ST,ea,0.4287,92618,78599481347,SEPCO 134S,2026-08-25
Fittings,2X1-1/2 RED WASH,ea,0.5339,92763,78599481657,SEPCO CW65,2026-08-25
Fittings,2-IN D/C SEC CONN,ea,3.9024,92856,78599432052,SEPCO SC5,2026-08-25
Fittings,1/2FLEX TO 1/2EMT CP,ea,2.9757,92858,78599451712,SEPCO 171,2026-08-25
Fittings,4-IN S/SCR EMT CONN,ea,10.3902,92880,78599462097,SEPCO S1112F,2026-08-25
Fittings,3/4 STL S/SCR EMT CONN,ea,0.3091,92898,78599462017,SEPCO S1111,2026-08-25
Fittings,1-1/4 2H STL COND,ea,0.3111,92970,78599421357,SEPCO 2135S,2026-08-25
Conduit & Raceway,1-IN 1H STL EMT STR,ea,0.2454,92986,78599481447,SEPCO 144S,2026-08-25
Conduit & Raceway,3-IN AL S/S LB EMT,ea,78.0205,93024,78599445085,SEPCO LB8AT,2026-08-25
Fittings,2-IN AL LB COND BOD,ea,28.2684,93051,78599440065,SEPCO LB6A,2026-08-25
Fittings,4IN ALUM COND BODY,ea,136.9109,183497,78599449005,SEPCO C-10AT,2026-08-25
Fittings,1-IN STL STR L/T C,ea,3.8297,93340,78599414620,SEPCO SLT29,2026-08-25
Grounding & Bonding,1/2 BRONZE GRD ROD C,ea,2.0522,93381,78599452004,SEPCO 200,2026-08-25
Fittings,3/4 90D PULL ELL&GS,ea,4.8394,93444,78599413142,SEPCO 1314,2026-08-25
Fittings,3-IN AL C CONDUIT BO,ea,78.0205,93500,78599443085,SEPCO C8A,2026-08-25
Fittings,1-1/4 D/C OFFSET NIP,ea,4.2373,93525,78599413442,SEPCO C44,2026-08-25
Fittings,3-1/2 D/C INS BU,ea,13.9012,93565,78599428049,SEPCO 28BIZOL,2026-08-25
Fittings,2X3/4 RED BUSH,ea,5.4285,93578,78599480127,SEPCO CR12,2026-08-25
Fittings,1-1/4 D/C STR L/T C,ea,6.7091,93629,78599414302,SEPCO LT30,2026-08-25
Fittings,1-1/4 1H MALL COND S,ea,1.5071,93638,78599481351,SEPCO 135,2026-08-25
Fittings,5/16 ANTI-SHORT BUSH BAG-35,ea,1.7088,93644,78599455506,SEPCO 0,2026-08-25
Fittings,1-1/4X1/2 RED BUSH,ea,3.1187,93757,78599480047,SEPCO CR4,2026-08-25
Fittings,1-IN STL COMP EMT CONN,ea,0.7600,93829,78599461027,SEPCO S1012,2026-08-25
Fittings,1/2 STEEL STR CONN,ea,3.2925,93835,78599414213,SEPCO NTC50,2026-08-25
Fittings,4-IN STEEL LOCKNUT,ea,3.8826,93898,78599417151,SEPCO 715,2026-08-25
Fittings,2-IN STEEL PENNY,ea,1.9321,93937,78599415351,SEPCO 535M,2026-08-25
Fittings,1-1/2X1-1/4 RED WAS,ea,0.3134,93957,78599481547,SEPCO CW54,2026-08-25
Fittings,1/2TO 1 BRS GRD CLA,ea,4.2860,93971,78599441084,SEPCO 10BR,2026-08-25
Fittings,1-1/2 D/C INS BU,ea,4.2069,93995,78599420038,SEPCO 24BIZ4L,2026-08-25
Conduit & Raceway,1-1/4 2H STL EMT S,ea,0.2703,94048,78599421457,SEPCO 2145S,2026-08-25
Fittings,3-IN AL LL COND BOD,ea,78.0205,94130,78599441085,SEPCO LL8A,2026-08-25
Fittings,1-IN AL COND BODY CO,ea,3.6513,94170,78599449305,SEPCO 03A,2026-08-25
Fittings,2-IN D/C 90D L/T CO,ea,24.9011,94221,78599414402,SEPCO LT40,2026-08-25
Conductor,1-1/4 WT SEU CONN,ea,8.9699,94286,78599413662,SEPCO 1064,2026-08-25
Fittings,3/4 SNAP-IN KO BLAN,ea,0.2890,94406,78599422527,SEPCO SS52,2026-08-25
Conduit & Raceway,3/4 STL COMP EMT CPLG,ea,0.5840,94444,78599461117,SEPCO S1017,2026-08-25
Conduit & Raceway,4-IN S/SCR EMT CPLG,ea,6.8092,94645,78599462197,SEPCO S1115F,2026-08-25
Fittings,3X2-1/2 RED WASH,ea,1.5392,94798,78599481877,SEPCO CW87,2026-08-25
Fittings,1-IN D/C CAPPED BUS,ea,1.2831,94856,78599418222,SEPCO 822Z,2026-08-25
Fittings,1IN CORD GRIP CONN,ea,6.3269,1169952,78599485203,SEPCO CG100-750,2026-08-25
Fittings,3-IN COND HGR W/BOL,ea,1.5937,94882,78599411772,SEPCO 17CS,2026-08-25
Fittings,3/4 AL CONDUIT BODY,ea,1.8073,94937,78599449205,SEPCO 02A,2026-08-25
Fittings,3-1/2 AL S/S LB EM,ea,125.3234,94961,78599445095,SEPCO LB9AT,2026-08-25
Fittings,1-1/4 1H STL COND S,ea,0.7175,94987,78599481357,SEPCO 135S,2026-08-25
Fittings,4-IN D/C CAPPED BUS,ea,37.6996,95041,78599418412,SEPCO 841Z,2026-08-25
Fittings,2-1/2 AL LR COND BO,ea,62.9609,95095,78599442075,SEPCO LR7A,2026-08-25
Fittings,1-1/4 INS STR L/T,ea,12.1526,95103,78599414308,SEPCO LT30T,2026-08-25
Fittings,1-1/4&1-1/2 COND BOD,ea,4.1145,95179,78599449405,SEPCO 04A,2026-08-25
Fittings,1-IN 90D PULL ELL&G,ea,9.2287,95207,78599413152,SEPCO 1315,2026-08-25
Fittings,3-1/2 COND HGR W/BO,ea,1.7063,95363,78599411872,SEPCO 18CS,2026-08-25
Fittings,1-1/2 D/C OFFSET NIP,ea,5.2316,95369,78599413452,SEPCO C45,2026-08-25
Fittings,4-IN MALL INS BUS,ea,22.6351,95480,78599428055,SEPCO 29BIOL,2026-08-25
Fittings,2-IN ALUM CONDUIT BODY COVE,ea,7.8883,299216,78599449505,SEPCO 05A,2026-08-25
Conduit & Raceway,3/4 1HL RIG/IMC STRAP,ea,0.8162,1178900,78599470201,SEPCO 133G,2026-08-25
Fittings,3/8 ANTI-SHORT BUSH BAG-35,ea,1.9782,95590,78599455516,SEPCO 1,2026-08-25
Conduit & Raceway,TW 1-1/4 EMT HGR W/BOLT,ea,0.6786,299320,78599411069,SEPCO 13CSA,2026-08-25
Fittings,5-IN 2H STL COND STRAP,ea,10.5436,299325,78599421507,SEPCO 2150S,2026-08-25
